Date,close,prediction,confidence,predicted_return,signal,position_size
2024-10-29,233.6699981689453,0,0.019875705,-0.03,HOLD,0.0
2024-10-30,230.10000610351562,0,0.021051036,-0.03,HOLD,0.0
2024-10-31,225.91000366210938,1,0.87333417,0.03,BUY,0.011200025081634521
2024-11-01,222.91000366210938,1,0.8355023,0.03,BUY,0.010065069794654847
2024-11-04,222.00999450683594,1,0.920096,0.03,BUY,0.012602879405021666
2024-11-05,223.4499969482422,1,0.875921,0.03,BUY,0.01127763032913208
2024-11-06,222.72000122070312,1,0.8842158,0.03,BUY,0.011526473164558411
2024-11-07,227.47999572753906,1,0.85238075,0.03,BUY,0.010571422576904296
2024-11-08,226.9600067138672,0,0.022059739,-0.03,HOLD,0.0
2024-11-11,224.22999572753906,1,0.956516,0.03,BUY,0.013695480823516844
2024-11-12,224.22999572753906,1,0.8694766,0.03,BUY,0.011084298491477965
2024-11-13,225.1199951171875,1,0.90713936,0.03,BUY,0.012214180827140807
2024-11-14,228.22000122070312,1,0.83102274,0.03,BUY,0.00993068218231201
2024-11-15,225.0,1,0.8678509,0.03,BUY,0.011035526990890502
2024-11-18,228.02000427246094,1,0.8886799,0.03,BUY,0.01166039764881134
2024-11-19,228.27999877929688,1,0.79296064,0.03,BUY,0.008788819313049315
2024-11-20,229.0,0,0.46637842,-0.03,HOLD,0.0
2024-11-21,228.52000427246094,0,0.21979207,-0.03,HOLD,0.0
2024-11-22,229.8699951171875,0,0.16282696,-0.03,HOLD,0.0
2024-11-25,232.8699951171875,0,0.017181072,-0.03,HOLD,0.0
2024-11-26,235.05999755859375,0,0.014834597,-0.03,HOLD,0.0
2024-11-27,234.92999267578125,0,0.010758963,-0.03,HOLD,0.0
2024-11-29,237.3300018310547,0,0.056011256,-0.03,HOLD,0.0
2024-12-02,239.58999633789062,0,0.08148899,-0.03,HOLD,0.0
2024-12-03,242.64999389648438,0,0.12385807,-0.03,HOLD,0.0
2024-12-04,243.00999450683594,0,0.044474076,-0.03,HOLD,0.0
2024-12-05,243.0399932861328,0,0.047690224,-0.03,HOLD,0.0
2024-12-06,242.83999633789062,0,0.04365526,-0.03,HOLD,0.0
2024-12-09,246.75,0,0.061354447,-0.03,HOLD,0.0
2024-12-10,247.77000427246094,0,0.07203795,-0.03,HOLD,0.0
2024-12-11,246.49000549316406,0,0.021259254,-0.03,HOLD,0.0
2024-12-12,247.9600067138672,0,0.06586411,-0.03,HOLD,0.0
2024-12-13,248.1300048828125,0,0.035308518,-0.03,HOLD,0.0
2024-12-16,251.0399932861328,0,0.030568134,-0.03,HOLD,0.0
2024-12-17,253.47999572753906,0,0.026258964,-0.03,HOLD,0.0
2024-12-18,248.0500030517578,0,0.047215916,-0.03,HOLD,0.0
2024-12-19,249.7899932861328,0,0.15683356,-0.03,HOLD,0.0
2024-12-20,254.49000549316406,0,0.059233416,-0.03,HOLD,0.0
2024-12-23,255.27000427246094,0,0.021082504,-0.03,HOLD,0.0
